College/University,US World Ranking,School Type,Region,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible
Drake University,3,Regional,Midwest,580,680,560,700,1140,1380,25,30,TO
Drew University,108,National,Mid-Atlantic,550,670,520,640,1070,1310,22,29,TO
Drexel University,96,National,Mid-Atlantic,580,680,590,710,1170,1390,25,30,TF
Drury University,11,Regional,Midwest,560,700,550,630,1110,1330,20,31,
Duke University,8,National,South,720,780,720,800,1440,1580,31,34,
Duquesne University,124,National,Mid-Atlantic,570,650,550,630,1120,1280,23,28,TO
Earlham College,68,LAC,Midwest,600,730,580,720,1180,1450,25,31,TO
Elmhurst College,10,Regional,Midwest,530,650,520,620,1050,1270,21,26,
Elon University,1,Regional,South,620,700,590,690,1210,1390,25,29,
Embry Riddle Aeronautical University Daytona Beach,12,Regional,South,540,650,550,660,1090,1310,22,28,TO
Emerson College,8,Regional,New England,620,710,570,660,1190,1370,25,29,TO
Emory University,20,National,South,680,750,670,780,1350,1530,29,33,
Fairfield University,2,Regional,New England,610,680,570,660,1180,1340,24,28,TO
Florida Institute of Technology,171,National,South,560,660,580,700,1140,1360,24,29,
Florida State University,92,National,South,620,690,580,660,1200,1350,26,29,
Fordham University,60,National,Mid-Atlantic,640,710,610,710,1250,1420,27,31,
Franklin and Marshall College,47,LAC,Mid-Atlantic,620,720,650,760,1270,1480,28,31,TO
Furman University,53,National,South,620,710,590,700,1210,1410,25,30,TO
Gallaudet University,16,Regional,Mid-Atlantic,420,520,450,520,870,1040,15,20,
George Mason University,143,National,South,560,660,560,650,1120,1310,23,28,TO
George Washington University,56,National,Mid-Atlantic,650,730,620,730,1270,1460,27,31,TO
Georgetown University,20,National,Mid-Atlantic,700,780,690,770,1390,1550,30,34,
Georgia Institute of Technology Main Campus,34,National,South,680,750,710,780,1390,1530,30,33,
Gettysburg College,51,LAC,Mid-Atlantic,640,720,630,710,1270,1430,27,29,TO
Gonzaga University,4,Regional,West,580,680,570,670,1150,1350,25,29,
Goshen College,5,Regional,Midwest,510,670,530,650,1040,1320,21,28,
Goucher College,113,LAC,Mid-Atlantic,560,670,510,610,1070,1280,23,28,TO
Grinnell College,19,LAC,Midwest,680,760,690,780,1370,1540,30,33,
Gustavus Adolphus College,77,LAc,Midwest,600,720,570,710,1170,1430,24,30,TO
Hamilton College,12,LAC,Mid-Atlantic,700,760,670,760,1370,1520,31,33,TF
Hampden Sydney College,105,LAC,South,540,650,530,630,1070,1280,21,27,
Hampton University,8,Regional,South,520,580,510,570,1030,1150,19,24,TO
Hanover College,122,LAC,Midwest,530,650,510,620,1040,1270,22,27,
Harvard University,2,National,New England,740,800,740,800,1470,1600,32,35,
Harvey Mudd College,21,LAC,West,710,770,760,800,1470,1570,33,35,
Haverford College,12,LAC,Mid-Atlantic,710,780,690,780,1400,1560,31,34,
Hendrix College,72,LAC,South,580,720,600,690,1180,1410,25,32,
High Point University,1,Regional,South,550,650,540,620,1090,1270,22,27,
Hillsdale Free Will Baptist College,83,LAC,Midwest,670,760,600,690,1270,1450,27,31,
Hobart William Smith Colleges,65,LAC,Mid-Atlantic,600,700,600,690,1200,1390,26,30,TO
Hofstra University,133,National,Mid-Atlantic,560,660,560,640,1120,1300,23,28,TO
Hollins University,105,National,South,560,680,510,600,1070,1280,21,30,
Hope College,108,LAC,Midwest,580,700,570,700,1150,1400,24,29,
Howard University,124,National,Mid-Atlantic,550,660,520,630,1080,1290,21,27,
Humboldt State University,52,Regional,West,490,610,470,570,960,1180,18,24,TO
Illinois Institute of Technology,103,National,Midwest,580,690,650,760,1230,1450,25,30,
Illinois Wesleyan University,72,National,Midwest,540,660,690,780,1230,1440,25,30,
Indiana University Bloomington,86,National,Midwest,570,680,570,690,1140,1370,24,30,
Iowa State University,111,National,Midwest,500,660,530,660,1030,1320,21,29,
Ithaca College,6,Regional,Mid-Atlantic,600,690,570,670,1170,1360,NA,NA,TO
James Madison University,8,Regional,South,560,660,560,640,1120,1300,25,27,TO
John Brown University,18,Regional,South,560,700,540,650,1100,1350,24,30,
Johns Hopkins University,10,National,Mid-Atlantic,730,780,740,800,1470,1580,32,34,
Kalamazoo College,68,LAC,Midwest,580,700,570,720,1150,1420,26,30,TO
Kenyon College,27,LAC,Midwest,680,750,630,720,1310,1470,28,32,
Knox College,77,LAC,Midwest,640,680,610,690,1250,1370,23,29,TO
Lafayette College,36,LAC,Mid-Atlantic,640,720,640,740,1280,1460,27,31,
Lake Forest College,108,LAC,Midwest,NA,NA,NA,NA,NA,NA,23,28,TO
Lawrence University,60,National,Midwest,630,720,580,750,1210,1470,25,31,TO
Lehigh University,44,National,Mid-Atlantic,640,720,660,760,1300,1480,29,32,
Lewis & Clark College,87,National,West,650,710,610,700,1260,1410,27,31,TO
Lipscomb University,176,National,South,560,680,550,640,1110,1320,23,29,
Louisiana State University and Agricultural & Mechanical College,135,National,South,560,660,540,660,1100,1320,23,28,
Loyola Marymount University,3,Regional,West,610,690,580,690,1190,1380,25,30,
Loyola University Chicago,99,National,Midwest,580,680,550,650,1130,1330,24,29,
Loyola University Maryland,3,Regional,Mid-Atlantic,600,700,580,660,1180,1360,25,29,TO
Loyola University New Orleans,10,Regional,South,560,660,510,630,1070,1290,22,28,
Luther College,90,LAC,Midwest,540,670,510,660,1050,1330,23,29,
Macalester College,24,LAC,Midwest,680,750,640,760,1320,1510,29,32,
Marist College,9,Regional,Mid-Atlantic,580,680,560,650,1140,1330,23,28,TO
Marquette University,86,National,Midwest,580,690,570,690,1150,1380,24,30,
Massachusetts Institute of Technology,7,National,New England,720,790,770,800,1490,1590,33,35,
Mercer University,135,National,South,580,680,570,670,1150,1350,25,29,
Miami University,79,National,Midwest,600,700,610,720,1210,1420,26,30,
Michigan State University,82,National,Midwest,510,640,560,710,1070,1350,23,28,
Michigan Technological University,111,National,Midwest,580,690,580,720,1160,1410,24,29,
Middlebury College,4,LAC,New England,690,770,660,760,1350,1540,29,33,TF
Mills College,5,Regional,West,590,700,530,640,1120,1340,24,30,TO
