ID,School,School Type,Region,US World Ranking,Acceptance Rate,Average GPA,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,SAT 25,SAT 75,ACT 25,ACT 75,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible,State,Link
41,Vassar College,LAC,Mid-Atlantic,12.0,0.26,3.8,710.0,770.0,690.0,760.0,1400.0,1530.0,1400,1530,30,33,30.0,33.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/vassar-college/admission/
38,University of Michigan Ann Arbor,National,Midwest,27.0,0.26,3.82,680.0,750.0,690.0,780.0,1370.0,1530.0,1370,1530,29,33,29.0,33.0,,Michigan,http://www.collegesimply.com/guides/admission-data//colleges/michigan/university-of-michigan-ann-arbor/admission/
45,Babson College,Business,New England,,0.26,3.6,640.0,730.0,640.0,750.0,1280.0,1480.0,1280,1480,27,30,27.0,30.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/babson-college/admission/
47,Kenyon College,LAC,Midwest,27.0,0.26,3.9,680.0,750.0,630.0,720.0,1310.0,1470.0,1310,1470,28,32,28.0,32.0,,Ohio,http://www.collegesimply.com/guides/admission-data//colleges/ohio/kenyon-college/admission/
40,Colgate University,LAC,Mid-Atlantic,12.0,0.27,3.64,660.0,760.0,650.0,760.0,1310.0,1520.0,1310,1490,30,33,30.0,33.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/colgate-university/admission/
645,Southwestern Assemblies of God University,,,,0.28,-,,,,,,,880,1130,18,23,,,,Texas,http://www.collegesimply.com/guides/admission-data//colleges/texas/southwestern-assemblies-of-god-university/admission/
52,Northeastern University,National,New England,39.0,0.28,-,700.0,760.0,710.0,780.0,1410.0,1540.0,1410,1540,31,34,31.0,34.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/northeastern-university/admission/
401,University of Minnesota Rochester,,,,0.28,-,,,,,,,1120,1290,22,26,,,,Minnesota,http://www.collegesimply.com/guides/admission-data//colleges/minnesota/university-of-minnesota-rochester/admission/
869,Oak Hills Christian College,,,,0.29,-,,,,,,,-,-,18,21,,,,Minnesota,http://www.collegesimply.com/guides/admission-data//colleges/minnesota/oak-hills-christian-college/admission/
37,Boston College,National,New England,31.0,0.29,-,680.0,750.0,660.0,770.0,1340.0,1520.0,1340,1520,30,33,30.0,33.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/boston-college/admission/
